source	docs	chars	letters	special_share	foreign_letter_share
sakha_texts_v2	45912	545701944	456034423	0.0701	0.00051
fineweb2	66288	245930953	206193441	0.0643	0.00383
madlad	24400	130246811	108417149	0.0640	0.00443
ocr_хотугу_сулус	379	119283712	99262920	0.0725	0.00023
ocr_cholbon	327	116778795	97507851	0.0716	0.00017
kyym	36171	108023268	90077226	0.0676	0.00118
eder_saas	30758	76783317	64445886	0.0686	0.00446
uluus_media	22516	63816222	53807370	0.0676	0.00092
svfu	1	59400668	49499286	0.0727	0.00043
sakha_sire	26092	50669030	42760634	0.0676	0.00172
ocr_kyrylgen	103	40578055	33633036	0.0702	0.00015
oscar	5660	36422413	29316609	0.0617	0.01483
ocr_ленин_суолунан	141	23012703	19743267	0.0588	0.00051
sakhapechat	106	12618597	10591032	0.0713	0.00041
nii_olonho	293	10722215	8933213	0.0773	0.00018
ocr_agitator	193	6366992	5397626	0.0638	0.00041
ocr_школаразвитиясайдыыкыьата	6	659563	551853	0.0722	0.00018
childrens_lib	294	564630	470334	0.0748	0.00119
